,precision,recall,f1-score,support
bottle,0.0,0.0,0.0,27.0
cat,0.09090909090909091,0.07407407407407407,0.08163265306122448,27.0
chair,0.0,0.0,0.0,27.0
face,0.0,0.0,0.0,27.0
house,0.2653061224489796,0.9629629629629629,0.41600000000000004,27.0
scissors,0.0,0.0,0.0,27.0
scrambledpix,0.26666666666666666,0.7407407407407407,0.39215686274509803,27.0
shoe,0.0,0.0,0.0,27.0
accuracy,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
macro avg,0.07786023500309215,0.2222222222222222,0.11122368947579032,216.0
weighted avg,0.07786023500309215,0.2222222222222222,0.11122368947579032,216.0
