Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.8384615384615385,0.8421729404302765,,0.8367353745393311,3.8064234256744385
PassiveAggressiveClassifier,0.823076923076923,0.82757855203806,,0.8224917525632991,0.3301725387573242
LogisticRegression,0.823076923076923,0.8258129845782931,,0.8253753821041074,0.20131921768188477
RidgeClassifierCV,0.8192307692307692,0.821958605754648,,0.8169346518991909,0.2402939796447754
LinearSVC,0.8115384615384615,0.8141090023842997,,0.8115831890438819,0.9869799613952637
Perceptron,0.8,0.8042516638159185,,0.7966228556996804,0.08871054649353027
LinearDiscriminantAnalysis,0.7846153846153846,0.7863155072202612,,0.7895999015147291,0.1630387306213379
SGDClassifier,0.7769230769230769,0.7806050419957504,,0.7821756430063734,0.10699963569641113
NuSVC,0.7653846153846153,0.7659373741909186,,0.7682177212132477,0.41133856773376465
RidgeClassifier,0.7423076923076923,0.7466836535358718,,0.7426119139155882,0.03611183166503906
SVC,0.7346153846153847,0.7355316762119645,,0.7369829366130903,0.376692533493042
LGBMClassifier,0.6576923076923077,0.6679107754027717,,0.6450193087990964,11.355969190597534
XGBClassifier,0.65,0.657922287176313,,0.6437536857755888,3.7240169048309326
RandomForestClassifier,0.6461538461538462,0.651091388568872,,0.6469605197834922,0.7029368877410889
ExtraTreesClassifier,0.6384615384615384,0.6416127980230985,,0.6385395750111422,0.35422253608703613
KNeighborsClassifier,0.5846153846153846,0.5811976281376541,,0.5815564634213917,0.14348340034484863
BaggingClassifier,0.47692307692307695,0.4768682200545644,,0.47119329617578437,0.7880549430847168
NearestCentroid,0.41923076923076924,0.4174971104272654,,0.42553841296027467,0.030097246170043945
DecisionTreeClassifier,0.38846153846153847,0.3934499385224894,,0.39812817821622315,0.19953465461730957
BernoulliNB,0.38076923076923075,0.38331051905404107,,0.38003643733163944,0.0280611515045166
GaussianNB,0.36153846153846153,0.35918803389942855,,0.3743928115140398,0.02700328826904297
ExtraTreeClassifier,0.31153846153846154,0.3257799616614616,,0.3080448417819218,0.024013280868530273
AdaBoostClassifier,0.20384615384615384,0.23751984904361817,,0.14665434502184116,1.078599452972412
QuadraticDiscriminantAnalysis,0.1346153846153846,0.13774016347120432,,0.13390874590140012,0.16249799728393555
LabelSpreading,0.14615384615384616,0.125,,0.037274135260712445,0.08399248123168945
LabelPropagation,0.14615384615384616,0.125,,0.037274135260712445,0.08010435104370117
DummyClassifier,0.1076923076923077,0.11132878722100195,,0.10321368461419386,0.02276611328125
